Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,GAP medio,Normalized Power® (NP®),Training Stress Score®,Potenza media,Potenza max,Passi,Decompressione,Tempo Lap migliore,Numero di Lap,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-03-06 17:32:37,false,"Castellammare di Stabia - Base","6.69","445","00:37:03","160","189","3.6","166","175","5:32","4:45","5","3","1.09","5:28","315","0.0","310","361","6,142","No","00:00:02.6","8","00:36:37","00:37:09","8","12"
Corsa,2025-03-05 17:23:42,false,"Castellammare di Stabia - Base","7.09","498","00:39:03","165","193","3.8","167","200","5:30","2:43","3","8","1.10","5:22","304","0.0","300","547","6,562","No","00:00:02.6","9","00:38:32","00:39:05","5","12"
Corsa,2025-03-04 10:55:32,false,"Castellammare di Stabia - Base","6.01","376","00:33:03","150","190","3.2","167","187","5:30","3:41","6","8","1.09","6:14","301","0.0","300","521","5,544","No","00:00:03.6","7","00:32:43","00:39:25","10","15"
Corsa,2025-03-03 10:27:55,false,"Castellammare di Stabia - Base","5.18","330","00:30:03","146","187","3.0","158","189","5:48","4:00","13","13","1.12","5:53","298","0.0","284","435","4,866","No","00:00:03.3","7","00:29:58","00:30:03","7","11"
Corsa,2025-02-28 18:30:19,false,"Castellammare di Stabia Corsa","2.04","137","00:11:19","151","176","2.4","164","174","5:33","4:44","2","3","1.10","5:27","315","0.0","311","370","1,868","No","00:00:12.4","3","00:11:11","00:11:32","2","5"
Corsa,2025-02-27 18:04:57,false,"Castellammare di Stabia - Base","10.02","757","01:01:40","162","183","4.2","165","175","6:09","4:27","11","11","0.99","5:54","280","0.0","276","440","10,166","No","00:01:39.9","11","01:01:17","01:01:40","7","12"
Corsa,2025-02-25 17:38:46,false,"Castellammare di Stabia - Base","7.10","514","00:43:06","161","181","3.5","161","170","6:04","5:07","2","4","1.02","6:27","290","0.0","282","349","6,962","No","00:00:41.9","8","00:43:00","00:43:06","7","11"
Corsa,2025-02-21 17:59:41,false,"Castellammare di Stabia Corsa","3.00","179","00:14:59","145","167","2.4","169","193","4:59","4:03","3","7","1.19","4:59","341","0.0","337","467","2,520","No","00:00:02.1","4","00:14:51","00:24:20","9","13"
Corsa,2025-02-20 17:47:23,false,"Castellammare di Stabia - Base","7.27","529","00:42:05","162","179","3.6","164","191","5:47","4:20","--","3","1.05","5:47","297","0.0","294","410","6,914","No","00:00:04.8","9","00:42:03","00:42:05","7","11"
Corsa,2025-02-19 17:52:41,false,"Castellammare di Stabia - Base","6.73","453","00:37:06","156","180","3.4","164","187","5:31","3:17","3","5","1.11","5:50","294","0.0","290","502","6,106","No","00:00:06.3","8","00:36:59","00:37:06","8","12"
Corsa,2025-02-18 17:07:14,false,"Castellammare di Stabia - Base","6.02","449","00:35:34","167","183","3.4","163","170","5:54","4:15","2","6","1.04","5:57","290","0.0","287","418","5,834","No","00:00:15.5","7","00:35:25","00:35:34","8","13"
Corsa,2025-02-17 16:40:51,false,"Castellammare di Stabia - Base","8.48","647","00:50:06","171","183","3.9","162","168","5:55","5:04","8","10","1.05","5:59","290","0.0","289","347","8,082","No","00:00:05.9","10","00:49:54","00:50:06","6","10"
Corsa,2025-02-14 17:40:55,false,"Castellammare di Stabia Corsa","3.01","197","00:15:50","153","179","2.7","166","183","5:16","3:55","7","11","1.14","5:11","357","0.0","347","565","2,642","No","00:00:03.1","4","00:15:45","00:15:50","7","12"
